ID,Category,Scenario,Implemented,AutomatedTestStatus,StatusSummary
SUB-CREATE-01,Creation,Create weekly subscription with a single valid delivery day,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-02,Creation,Create every_two_weeks subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-03,Creation,Create subscription choosing a delivery day NOT offered by business,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-04,Creation,Create subscription with no valid delivery day resolved,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-05,Creation,Create subscription without a Stripe customer,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-06,Creation,Create subscription when Stripe customer cannot be retrieved,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-07,Creation,Create subscription with no default card,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-08,Creation,Create subscription with invalid/unknown delivery address id,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-09,Creation,Create subscription with zero items,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-10,Creation,Create subscription with an inactive/unavailable variant,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-11,Creation,Create subscription with product not subscription-eligible,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-12,Creation,Create subscription but first invoice payment fails,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-13,Creation,First delivery date lands on the next weekday occurrence not today,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CREATE-14,Creation,Notes field persisted on creation,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CUTOFF-01,Cut-off,Cut-off boundary exactly at cutoff time,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CUTOFF-02,Cut-off,Just before cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CUTOFF-03,Cut-off,Just after cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-CUTOFF-04,Cut-off,Cut-off with no nextDeliveryDate,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-CUTOFF-05,Cut-off,Admin changes cutoffDaysBefore affects cut-off window,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-CUTOFF-06,Cut-off,GET subscription returns cutoff metadata,Yes,Yes,Covered by automated backend subscription tests (portal API/service suite).
SUB-ITEM-ADD-01,Items,Add item before cut-off (increase),Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-ADD-02,Items,Add item before cut-off but immediate charge declines,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-ADD-03,Items,Add same variant that already exists,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-ADD-04,Items,Add item after cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-ADD-05,Items,Add unavailable/inactive variant,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-ADD-06,Items,Add non-subscription-eligible product,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-ADD-07,Items,Add item to paused subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-ADD-08,Items,Add item to cancelled subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-UPD-01,Items,Increase quantity before cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-UPD-02,Items,Decrease quantity before cut-off with store credit,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-UPD-03,Items,Decrease quantity before cut-off with card refund,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-UPD-04,Items,Decrease with card refund but no captured payment,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-UPD-05,Items,Card refund partially fails and remainder goes to credit,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-UPD-06,Items,Update quantity after cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-UPD-07,Items,Update non-existent item id,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-RMV-01,Items,Remove a non-last item before cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-RMV-02,Items,Attempt to remove the last remaining item,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-RMV-03,Items,Remove item after cut-off,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-ITEM-RMV-04,Items,Remove item on paused subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-01,Pause,Pause active subscription with valid resume date,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-02,Pause,Pause without resume date,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-03,Pause,Pause with resume date in the past/today,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-04,Pause,Pause longer than 28 days,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-05,Pause,Pause with invalid date string,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-06,Pause,Pause an already-paused subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-07,Pause,Pause a cancelled subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-08,Pause,No edits allowed while paused,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-09,Pause,Pause keeps the pre-paid upcoming delivery,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-PAUSE-10,Pause,Stripe pause API failure is non-fatal,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
SUB-RESUME-01,Resume,Manually resume a paused subscription,Yes,Yes,Covered by automated subscription tests (portal API and/or webhook E2E suite).
